LandUse,lon,lat,id
Semi Perennial Crop,-40.3423216560643,-9.47313351637537,1
Caatinga,-40.3231935838673,-9.04158533359837,2
Annual Perennial Crop,-40.5053063392374,-9.26621897682066,3
Mixed Pasture,-40.1114589991687,-9.59267355158119,4
